=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.09 16:10:48 =~=~=~=~=~=~=~=~=~=~=~=
Tem3,Setpoint:95.50,Temperature:46.44,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.51,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.58,Duty:100.00,
Time:0:0:24,Ideal:95.50,Setpoint:95.50,Temperature:85.65,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:85.75,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:85.82,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:85.89,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:85.99,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:86.09,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:86.16,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:86.27,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:86.30,Duty:100.00,
Time:0:0:25,Ideal:95.50,Setpoint:95.50,Temperature:86.44,Duty:100.00,
